,name,cpu0_l1d_coverage,cpu0_l1d_accuracy,cpu0_speedup
0,436.cactusADM-1804B,11.19,66.424,1.0601
1,437.leslie3d-134B,26.49,83.75,1.4361
2,450.soplex-247B,9.606,55.274,1.0308
3,459.GemsFDTD-1320B,28.678,83.822,1.2245
4,462.libquantum-714B,39.609,93.61,1.2218
5,482.sphinx3-1100B,26.664,84.568,1.2662
6,602.gcc_s-2226B,32.942,87.253,1.7607
7,603.bwaves_s-891B,27.536,91.233,1.3302
8,605.mcf_s-1644B,12.361,74.591,0.9898
9,619.lbm_s-2677B,3.842,59.289,0.9994
10,620.omnetpp_s-141B,1.384,18.003,0.9973
11,621.wrf_s-6673B,24.152,87.234,1.1099
12,623.xalancbmk_s-10B,1.247,11.944,0.994
13,627.cam4_s-573B,7.035,65.303,1.0016
14,649.fotonik3d_s-10881B,23.864,62.993,1.0163
15,654.roms_s-1390B,25.633,88.188,1.1785
